ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3;e1;e2;e3
2;8;468;0;M;1;anthyllis;pistachia;dorycnium;24;14,5;36;3,93;2,57;4,39;28,5;17;39;;;
2;8;470;0;A;1;anthyllis;anthyllis;anthyllis;29;20;31;4,37;3,35;4,63;31;28,5;39,5;;;
2;8;471;1;A;1;anthyllis;anthyllis;anthyllis;29;20,5;25,5;4,52;3,08;4,42;27;20;26;;;
2;8;472;1;P;1;pistachia;pistachia;pistachia;23,5;20;18,5;3,98;2,62;2,6;23,5;22,5;20;;;
2;8;473;0;D;0;dorycnium;dorycnium;dorycnium;31;40;45,5;3,92;4,01;3,07;33;42;57;;;
2;8;474;1;D;0;dorycnium;dorycnium;dorycnium;34;34,5;35,5;3,08;3,04;3,34;37;34,5;42;;;
2;8;477;1;M;0;dorycnium;pistachia;anthyllis;28,5;24,5;22;2,4;3,5;2,36;28;26;21,5;;;
2;8;478;0;M;0;dorycnium;pistachia;anthyllis;28;22;19;2,41;2,63;2,48;30,5;23;19;;;
2;8;479;0;A;1;anthyllis;anthyllis;anthyllis;22;23,5;24,5;4,3;3,27;3,15;22,5;24;27;;;
2;8;480;1;A;0;anthyllis;anthyllis;anthyllis;33;37,5;38;3,7;3,14;4,1;43;43;43;;;
3;9;881;0;A;1;anthyllis;anthyllis;anthyllis;D;23;25;1,94;3,51;3,51;D;24;27;;;
3;9;882;1;A;0;anthyllis;anthyllis;anthyllis;23;12,5;37,5;2,73;1,94;2,54;25,5;13;40;;;
3;9;887;0;M;1;pistachia;anthyllis;dorycnium;24;20;D;3,65;2,68;1,97;26;25,5;D;;;
3;9;888;1;M;1;dorycnium;pistachia;anthyllis;42;30,5;48,5;2,87;3,95;3,77;43;30,5;49;;;
3;9;889;1;P;0;pistachia;pistachia;pistachia;23;D;D;2,83;2,55;2,55;27;D;D;;;
3;9;890;0;P;1;pistachia;pistachia;pistachia;D;D;26;4,57;3,19;2,67;D;D;27,5;;;
3;9;891;0;M;0;anthyllis;pistachia;dorycnium;30;D;36,5;2,55;3,75;2,53;31;D;36,5;;;
3;9;892;1;M;1;dorycnium;pistachia;anthyllis;22,5;20,5;20;3,27;3,73;2,32;32;25;23,5;;;
3;9;897;1;P;0;pistachia;pistachia;pistachia;14,5;D;D;2,91;2,94;2,83;15,5;D;D;;;
3;9;898;0;P;1;pistachia;pistachia;pistachia;14,5;D;D;2,41;2,75;3,86;15,5;D;D;;;
3;9;899;0;P;1;pistachia;pistachia;pistachia;18,5;16,5;22;3,73;3,42;3,7;21;20;25;;;
3;9;900;1;P;1;pistachia;pistachia;pistachia;20,5;18,5;13,5;2,81;2,87;2,68;21;18;13,5;;;
3;9;1329;1;M;1;anthyllis;dorycnium;pistachia;22;27;22,5;2,52;2,31;4,58;29;27,5;22;;;
3;9;901;0;M;0;dorycnium;anthyllis;pistachia;27;20;19;2,36;2,5;3,11;31,5;20;21;;;
3;9;905;0;D;0;dorycnium;dorycnium;dorycnium;D;D;31;3,28;2,83;4,14;D;D;45;;;
3;9;906;1;D;1;dorycnium;dorycnium;dorycnium;39,5;D;D;2,93;2,19;2,25;47;D;D;;;
3;9;907;0;A;0;anthyllis;anthyllis;anthyllis;36;28;37;2,89;2,47;4,17;39,5;27,5;37;;;
3;9;908;1;A;1;anthyllis;anthyllis;anthyllis;45,5;25,5;C;3,19;2,1;2,15;46;26;C;;;cassé
3;9;912;1;M;0;dorycnium;pistachia;anthyllis;26;15;28,5;2,23;2,43;2,37;28,5;17;29;;;
3;9;913;0;M;0;pistachia;dorycnium;anthyllis;18;16,5;24,5;2,27;2,59;2,69;20,5;16;26;;;
3;9;914;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;2,26;3,74;2,53;D;D;D;;;
3;9;915;0;D;0;dorycnium;dorycnium;dorycnium;D;D;26,5;2,24;2,38;2,2;D;D;29,5;;;
3;9;916;1;D;1;dorycnium;dorycnium;dorycnium;D;C;D;2,24;1,78;2,13;D;C;D;;cassé;
3;9;917;0;D;0;dorycnium;dorycnium;dorycnium;D;3;D;1,94;1,94;3,06;D;4,5;D;;;
3;9;918;0;A;1;anthyllis;anthyllis;anthyllis;13;D;22;3,06;2,84;2,68;15;D;24;;;
3;9;919;1;A;0;anthyllis;anthyllis;anthyllis;25;19;15,5;2,46;2,79;2,26;26,5;18,5;19;;;
3;9;920;0;D;1;dorycnium;dorycnium;dorycnium;32;38,5;D;3,19;2,09;2,37;33,5;37;D;;;
3;9;921;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;1,86;1,75;2,32;D;D;D;;;
3;9;922;1;A;0;anthyllis;anthyllis;anthyllis;17,5;18;8;2,26;2,5;2,21;17,5;16;8,5;;;
3;9;923;0;A;1;anthyllis;anthyllis;anthyllis;34,5;21;23,5;3,11;6,32;4,32;37;26;24;;;
3;9;924;0;P;0;pistachia;pistachia;pistachia;D;11,5;21,5;3,27;2,02;3,72;D;11,5;22;;;
3;9;925;1;P;0;pistachia;pistachia;pistachia;D;D;21;2,6;2,98;2,9;D;D;24;;;
3;9;926;0;D;0;dorycnium;dorycnium;dorycnium;D;32,5;38,5;2,75;2,24;2,63;D;33,5;41,5;;;
3;9;927;1;D;0;dorycnium;dorycnium;dorycnium;26,5;D;36;2,44;2,08;2,25;32;D;36;;;
3;9;928;0;P;1;pistachia;pistachia;pistachia;D;D;18;3,26;2,97;3,04;D;D;19;;;
3;9;929;1;P;1;pistachia;pistachia;pistachia;21;22;27;3,14;3,9;3,93;22;24;26,5;;;
3;9;930;1;P;0;pistachia;pistachia;pistachia;D;D;17;3,47;3,12;2,88;D;D;18;;;
3;9;931;0;P;1;pistachia;pistachia;pistachia;D;D;D;3,64;2,98;4,79;D;D;D;;;
3;9;932;1;D;0;dorycnium;dorycnium;dorycnium;D;25,5;D;1,82;2,06;2,64;D;31;D;;;
3;9;933;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;3,53;2,25;1,89;D;D;D;;;
3;9;934;0;D;1;dorycnium;dorycnium;dorycnium;D;D;D;4,88;1,63;2,75;D;D;D;;;
3;9;935;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;2,42;2,27;2,27;D;D;D;;;
3;9;936;0;P;0;pistachia;pistachia;pistachia;D;D;D;3,42;4,24;4,17;D;D;D;;;
3;9;937;1;P;0;pistachia;pistachia;pistachia;D;D;D;4,76;3,48;3,91;D;D;D;;;
3;9;938;0;M;0;dorycnium;pistachia;anthyllis;D;D;D;M;4,86;1,9;D;D;D;missing1;;
3;9;939;1;M;0;pistachia;dorycnium;anthyllis;D;D;23;2,51;3,6;3,01;D;D;25;;;
3;9;941;0;A;1;anthyllis;anthyllis;anthyllis;20,5;19;20,5;2,8;2,52;2,82;23;17;21;;;
3;9;942;1;A;0;anthyllis;anthyllis;anthyllis;17;23;18;1,76;3,18;2,11;18;21;17;;;
3;9;943;0;P;0;pistachia;pistachia;pistachia;D;D;15;5,83;2,74;3,25;D;D;17;;;
3;9;944;1;P;0;pistachia;pistachia;pistachia;11;12;10;3,9;3,9;2,89;15,5;13;11;;;
3;9;947;1;D;1;dorycnium;dorycnium;dorycnium;D;D;D;2,62;2,65;3,11;D;D;D;;;
3;9;948;0;D;1;dorycnium;dorycnium;dorycnium;D;38,5;12;2,52;3,21;2,63;D;54,5;12,5;;;
3;9;952;0;A;1;anthyllis;anthyllis;anthyllis;16;D;26,5;3,29;2,1;2,6;16,5;D;27,5;;;
3;9;956;1;M;1;anthyllis;pistachia;dorycnium;24;22,5;32,5;2,74;3,88;2,46;26;25,5;44,5;;;
3;9;957;0;M;0;dorycnium;pistachia;anthyllis;D;D;31,5;2,14;2,57;3,28;D;D;32,5;;;
3;9;958;0;M;1;pistachia;dorycnium;anthyllis;23,5;28;29;3,46;2,57;4,25;26;28,5;31;;;
3;9;959;1;M;1;dorycnium;anthyllis;pistachia;D;14,5;D;2,75;3,84;2,71;D;20,5;D;;;
3;10;1103;0;A;0;anthyllis;anthyllis;anthyllis;33;20;18,5;3,06;2,33;2,06;34;20;18;;;
3;10;1010;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;10;1114;1;A;1;anthyllis;anthyllis;anthyllis;26,5;27;M;3,45;2,96;M;33,5;32;M;;;
3;10;1113;0;A;0;anthyllis;anthyllis;anthyllis;27,5;27,5;26,5;2,79;2,74;2,52;27,5;28;28;;;
3;10;1117;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;2,32;3,53;3,09;D;D;D;;;
3;10;1118;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;2,6;3,47;2,25;D;D;D;;;
3;10;1120;0;P;0;pistachia;pistachia;pistachia;D;D;D;3,3;1,84;3,66;D;D;D;;;
3;10;1121;1;P;1;pistachia;pistachia;pistachia;D;D;D;3,77;3,51;2,34;D;D;D;;;
3;10;1131;0;P;1;pistachia;pistachia;pistachia;D;12;23;4,18;2,35;3,87;D;13,5;24;;;
3;10;1077;1;P;1;pistachia;pistachia;pistachia;9;D;D;2,42;3,86;4,47;12;D;D;;;
3;10;1134;0;P;0;pistachia;pistachia;pistachia;D;25;D;3,95;3,92;4,03;D;25,5;D;;;
3;10;1135;1;P;0;pistachia;pistachia;pistachia;29,5;D;D;3,25;3,53;3,32;31,5;D;D;;;
3;10;1137;0;M;1;pistachia;anthyllis;dorycnium;30;19;32,5;4,56;2,99;3,23;32;23;37,5;;;
3;10;1138;1;M;0;pistachia;dorycnium;anthyllis;D;D;21;4,16;2,76;2,08;D;D;21;;;
3;10;1139;0;M;1;pistachia;anthyllis;dorycnium;D;31;38,5;4,28;2,29;2,71;D;32;38;;;
3;10;1124;1;M;1;dorycnium;pistachia;anthyllis;D;D;19;3,32;3,18;2,37;D;D;21;;;
3;10;1143;0;P;1;pistachia;pistachia;pistachia;15;29;26;3,35;3,44;3,15;17,5;30;25,5;;;
3;10;1144;1;P;0;pistachia;pistachia;pistachia;D;D;D;3,62;4,55;2,63;D;D;D;;;
3;10;1145;1;D;0;dorycnium;dorycnium;dorycnium;D;28;29;2,13;2,78;3,06;D;32;30;;;
3;10;1146;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;1,65;1,6;3,37;D;D;D;;;
3;10;1148;1;M;0;anthyllis;dorycnium;pistachia;25,5;26;16,5;2,56;2,07;2,7;39;33,5;20;;;
3;10;1149;0;M;1;pistachia;dorycnium;anthyllis;24,5;D;29;3,61;2,84;3,36;25;D;30;;;
3;10;1051;0;A;1;anthyllis;anthyllis;anthyllis;22;33,5;31,5;2,9;3,22;2,68;24,5;35;31;;;
3;10;1052;1;A;1;anthyllis;anthyllis;anthyllis;19;32;29;2,16;3,45;3,23;22;34;31;;;
3;10;1059;1;D;1;dorycnium;dorycnium;dorycnium;D;D;17;2,55;1,9;3,3;D;D;28;;;
3;10;1060;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;2,52;3,04;2,67;D;D;D;;;
3;10;1064;1;M;1;pistachia;anthyllis;dorycnium;D;22;D;3,59;2,46;2,43;D;35;D;;;
3;10;1065;0;M;0;anthyllis;pistachia;dorycnium;24;D;30;2,79;2,9;2,85;25;D;34,5;;;
3;10;1067;0;D;0;dorycnium;dorycnium;dorycnium;36;25;26;2,35;2,11;2,58;35;28;24;;;
3;10;1068;1;D;0;dorycnium;dorycnium;dorycnium;28,5;28,5;D;1,96;2,86;2,11;33;32;D;;;
3;10;1071;1;P;1;pistachia;pistachia;pistachia;D;D;D;4,98;3,82;2,41;D;D;D;cassée;cassé;cassé
3;10;1072;0;P;1;pistachia;pistachia;pistachia;27;22;29,5;4,38;3,39;3,85;33;25;30;;;
3;11;1022;0;M;0;dorycnium;anthyllis;pistachia;34;31;32,5;2,14;2,27;4,76;34;33;40,5;;;
3;11;1023;1;M;0;anthyllis;pistachia;dorycnium;26,5;31;D;2,77;4,17;1,69;29,5;31,5;D;;;
3;11;1026;0;P;0;pistachia;pistachia;pistachia;32;27,5;32;3,31;5,49;4,65;35;29;33,5;;;
3;11;1027;1;P;0;pistachia;pistachia;pistachia;27,5;29,5;22;4,3;3,41;3,65;35;29,5;25;;;
3;11;1029;1;D;1;dorycnium;dorycnium;dorycnium;34,5;23;49;3,36;2,21;3,77;43,5;29;56;;;
3;11;1030;0;D;0;dorycnium;dorycnium;dorycnium;40;32;30;3,74;2,59;3,24;41;33;39,5;;;
3;11;1031;0;P;0;pistachia;pistachia;pistachia;12,5;17,5;16,5;3,17;3,69;3,93;14;20;17;;;
3;11;1032;1;P;0;pistachia;pistachia;pistachia;22,5;15;D;4,09;3,11;3,79;23,5;18,5;D;;;
3;11;1033;0;D;1;dorycnium;dorycnium;dorycnium;D;29;33,5;2,93;3,39;3,77;D;35,5;37;;;
3;11;1034;1;D;0;dorycnium;dorycnium;dorycnium;32;39,5;18,5;3,08;3,47;2,71;32;41;30;;;
3;11;1035;0;D;0;dorycnium;dorycnium;dorycnium;31,5;50;27;2,87;3,21;2,77;32;51;28;;;
3;11;1037;0;P;0;pistachia;pistachia;pistachia;D;30;D;4,79;3,91;3,89;D;32,5;D;;;
3;11;1038;1;D;1;dorycnium;dorycnium;dorycnium;40,5;32,5;20;2,46;2,16;2,13;40;25;46;;;
3;11;1039;1;P;1;pistachia;pistachia;pistachia;40;31;37;4,81;3,52;4,51;38;31,5;39;;;
3;11;1040;0;M;1;dorycnium;anthyllis;pistachia;39,5;31;16,5;3,11;2,93;3,43;41,5;30,5;19,5;;;
3;11;1041;0;P;0;pistachia;pistachia;pistachia;30;D;D;3,92;3,53;2,69;30;D;D;;;
3;11;1042;1;P;1;pistachia;pistachia;pistachia;20;28;D;4,34;5,74;3,23;27,5;30;D;;;
3;11;1043;0;M;1;pistachia;dorycnium;anthyllis;33,5;34;25;5,38;2,91;2,61;38,5;34,5;26;;;
3;11;1044;1;M;0;pistachia;anthyllis;dorycnium;27;22,5;31;4,12;2,25;2,93;37,5;26;34,5;;;
3;11;1045;1;D;0;dorycnium;dorycnium;dorycnium;27,5;23;25;3,2;2,21;2,66;30;25;27,5;;;cassé sur le coup
3;11;1046;0;D;0;dorycnium;dorycnium;dorycnium;29,5;21;32,5;2,76;2,36;2,47;32;30,5;36,5;;;
3;11;1047;0;P;0;pistachia;pistachia;pistachia;C;21,5;D;3,64;3,9;4,28;C;23;D;;;
3;11;1048;1;P;0;pistachia;pistachia;pistachia;24,5;D;20,5;3,6;4,33;3,74;31;D;26;;;
3;11;1049;0;A;0;anthyllis;anthyllis;anthyllis;19,5;18;19;3,39;2,94;3,28;24,5;18,5;21;;;
3;11;1050;0;A;0;anthyllis;anthyllis;anthyllis;21;27,5;34,5;3,17;3,5;3,42;24,5;27,5;34,5;;;
3;11;1151;1;A;1;anthyllis;anthyllis;anthyllis;23;29;28,5;3,22;2,66;3,37;23;28,5;30;;;
3;11;1152;1;M;0;dorycnium;pistachia;anthyllis;29;13;28;3,61;3,57;2,63;32;18;22;;;
3;11;1153;0;M;0;anthyllis;pistachia;dorycnium;D;D;12;3,1;3,12;2,53;D;D;12;;;
3;11;1154;1;M;0;anthyllis;dorycnium;pistachia;34;38,5;39,5;3,49;3,94;3,75;33;40,5;46;;;
3;11;1155;0;M;0;anthyllis;pistachia;dorycnium;24;25;38;3,07;3,27;3,31;23;26;43,5;;;
3;11;1080;1;M;0;dorycnium;anthyllis;pistachia;D;12;D;2,16;2,96;3,28;D;22;D;;;
3;11;1156;0;A;1;anthyllis;anthyllis;anthyllis;27,5;29;22,5;3,69;4,21;4,86;27,5;28,5;21;;;
3;11;1081;1;A;1;anthyllis;anthyllis;anthyllis;22;24;29;3,36;3,21;4,42;25,5;23;33;;;
3;11;1084;0;A;0;anthyllis;anthyllis;anthyllis;23;22,5;30;2,48;3,96;2,63;24,5;23;30;;;
3;11;1088;1;D;1;dorycnium;dorycnium;dorycnium;33,5;37;40;2,3;2,59;2,48;39,5;36;42;;;
3;11;1089;0;D;0;dorycnium;dorycnium;dorycnium;29;10;D;2,85;2,3;3,07;30;11;D;;;
3;11;1092;1;D;0;dorycnium;dorycnium;dorycnium;18;31,5;38,5;2,04;2,57;2,26;18;34;39;;;
3;11;1093;0;D;0;dorycnium;dorycnium;dorycnium;39;35,5;45,5;2,78;1,99;3,65;41,5;35,5;49;;;
3;11;1094;0;P;1;pistachia;pistachia;pistachia;29,5;22,5;33;3,86;4,12;4,22;32;29,5;34;;;
3;11;1159;0;A;0;anthyllis;anthyllis;anthyllis;21,5;18,5;25,5;2,85;2,04;3,13;24;17,5;24;;;
3;11;1095;1;A;0;anthyllis;anthyllis;anthyllis;32;31;8;3,92;2,51;2,34;32;42;8;;PAS DE FEUILLES, H1 MESURÉE À LA FLEUR;
3;11;1096;1;A;1;anthyllis;anthyllis;anthyllis;24;17;14,5;3,36;2,17;2,55;29;20;15;;;
3;11;1099;1;P;0;pistachia;pistachia;pistachia;D;15,5;20,5;3,24;2,95;2,88;D;16;20,5;;;
3;11;1100;0;P;0;pistachia;pistachia;pistachia;D;D;D;2,77;2,94;2,21;D;D;D;;;
3;11;1001;0;D;0;dorycnium;dorycnium;dorycnium;34,5;26,5;27;4,25;2,37;4,6;34,5;25,5;28;;;
3;11;1002;1;D;1;dorycnium;dorycnium;dorycnium;D;D;D;2,35;4,39;2,41;D;D;D;cassé sur le coup;;
3;11;1003;1;P;1;pistachia;pistachia;pistachia;26;25;24,5;4,31;3,93;2,97;30;29;26;;;
3;11;1004;0;P;0;pistachia;pistachia;pistachia;32,5;31;D;4,33;7,01;3,36;39;32;D;;;
3;11;1005;1;D;1;dorycnium;dorycnium;dorycnium;29,5;32;C;2,89;2,53;2,13;28,5;34;C;;;
3;11;1006;1;A;1;anthyllis;anthyllis;anthyllis;18,5;33;24,5;2,86;3,06;2,52;19,5;34,5;25,5;;;
3;11;1007;0;A;1;anthyllis;anthyllis;anthyllis;D;26,5;12,5;1,65;2,67;2,72;D;26,5;14,5;;;
3;11;1009;0;D;1;dorycnium;dorycnium;dorycnium;31;38,5;41;2,98;3,45;3,93;39,5;40;43;;;
3;11;1010;0;A;0;anthyllis;anthyllis;anthyllis;28;D;19;3,23;D;3,87;30;D;22;;cassé sur le moment;
3;11;1012;0;M;0;pistachia;anthyllis;dorycnium;D;23,5;D;4,53;2,87;2,3;D;22,5;D;;;
3;11;1013;1;M;0;pistachia;anthyllis;dorycnium;D;C;D;2,82;1,5;2,31;D;C;D;;;
3;11;1014;0;M;0;dorycnium;anthyllis;pistachia;31;31;D;2,62;2,31;3,27;36;33,5;D;;;
3;11;1015;1;M;0;dorycnium;pistachia;anthyllis;D;D;35,5;3,06;3,97;2,51;D;D;37;;;
3;11;1018;1;P;0;pistachia;pistachia;pistachia;28,5;17,5;20;3,64;4,07;2,96;31;23;23;;;
3;11;1019;1;D;0;dorycnium;dorycnium;dorycnium;28,5;38,5;D;2,4;3,02;2,29;30;39,5;D;;;
3;11;1021;0;D;1;dorycnium;dorycnium;dorycnium;45,5;32;31;3,81;2,93;2,8;47;32,5;33;;;
3;12;801;0;M;1;pistachia;anthyllis;dorycnium;25;24;27,5;3,24;3,35;2,55;27,5;25;28;;;
3;12;802;1;M;0;dorycnium;pistachia;anthyllis;22;22;43;1,84;4,39;5,76;23;25;42;;;
;12;803;0;A;0;anthyllis;anthyllis;anthyllis;25;23,5;M;2,24;2,16;M;22;NA;NA;;;
3;12;804;1;M;0;anthyllis;pistachia;dorycnium;31,5;22;9;3,09;4,69;1,57;32,5;28,5;8;;;
3;12;805;1;A;0;anthyllis;anthyllis;anthyllis;36,5;31,5;11;3,78;4,07;1,49;35,5;32,5;11;;;
3;12;806;1;M;0;dorycnium;pistachia;anthyllis;29,5;20,5;20;3,87;3,11;2,04;30;20,5;21;;;
3;12;809;0;M;0;anthyllis;pistachia;dorycnium;D;D;27;2,56;4,14;2,57;D;D;36;;;
3;12;810;1;D;0;dorycnium;dorycnium;dorycnium;D;D;19;2,72;3,31;1,67;D;D;26;;;
3;12;811;0;D;0;dorycnium;dorycnium;dorycnium;34;35,5;32,5;2,88;2,58;3,52;37;48;34,5;;;
3;12;814;0;P;0;pistachia;pistachia;pistachia;D;D;D;3,23;3,91;4,29;D;D;D;;;
3;12;815;1;P;1;pistachia;pistachia;pistachia;25;20;22,5;5,41;4,45;5,13;27;23,5;28,5;;;
3;12;816;0;D;1;dorycnium;dorycnium;dorycnium;22;26;29;3,07;2,97;2,43;28;33;40;;;
3;12;817;1;D;1;dorycnium;dorycnium;dorycnium;24,5;27,5;31,5;3,27;3,13;3,57;25;29;33;;;
3;12;818;0;M;1;anthyllis;dorycnium;pistachia;27;37,5;22;2,35;4,51;2,94;27;44;23;;;
3;12;821;1;D;0;dorycnium;dorycnium;dorycnium;25,5;D;D;3,24;3,14;2,52;32;D;D;;;
3;12;822;0;A;1;anthyllis;anthyllis;anthyllis;21,5;27;26;2,14;2,34;2,85;30;21,5;26,5;;;
3;12;823;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;4,35;4,02;3,73;D;D;D;;;
3;12;824;1;P;0;pistachia;pistachia;pistachia;D;D;D;3,38;3,14;2,51;D;D;D;;;
3;12;825;0;P;0;pistachia;pistachia;pistachia;D;D;D;3,62;2,74;2,56;D;D;D;;;
3;12;834;0;M;1;pistachia;anthyllis;dorycnium;D;13,5;D;3,15;2,01;2,86;D;16,5;D;;;
3;12;835;1;M;1;anthyllis;dorycnium;pistachia;22;D;17;2,04;2,87;3,05;25;D;18;;;
3;12;836;0;P;0;pistachia;pistachia;pistachia;D;3;D;3,03;2,07;3,53;D;3,5;D;;;
3;12;833;1;P;0;pistachia;pistachia;pistachia;M;D;D;2,03;3,26;2,7;M;D;D;;;
3;12;837;0;P;1;pistachia;pistachia;pistachia;21;18;D;3,19;3,58;3,7;22;20;D;;;
3;12;838;1;P;1;pistachia;pistachia;pistachia;21;D;23,5;4,61;4,76;3,94;22,5;D;23;;;
3;12;839;0;A;1;anthyllis;anthyllis;anthyllis;29;26;D;4,1;2,31;1,97;31;26,5;D;;;
3;12;842;1;P;1;pistachia;pistachia;pistachia;16,5;11,5;D;3,55;2,48;2,99;17,5;13;D;;;
3;12;843;0;P;0;pistachia;pistachia;pistachia;15,5;D;D;3,41;3,28;2,03;16,5;D;D;;;
3;12;844;1;A;1;anthyllis;anthyllis;anthyllis;23;12,5;17;2,39;2,72;2,32;27,5;16;19,5;;;
3;12;847;0;D;1;dorycnium;dorycnium;dorycnium;D;D;D;1,4;2,53;3,66;D;D;D;;;
3;12;848;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;2,77;2,32;2,65;D;D;D;;;
3;12;849;0;D;0;dorycnium;dorycnium;dorycnium;33,5;36;33,5;3,2;2,61;2,52;35;35;33,5;;;
3;12;850;1;D;1;dorycnium;dorycnium;dorycnium;36,5;36;35,5;3,42;2,99;2,98;39;40,5;40;;;
3;12;851;1;M;0;pistachia;dorycnium;anthyllis;12;C;17,5;3,13;3,03;2,61;14,5;C;17;;;
3;12;852;0;M;0;pistachia;anthyllis;dorycnium;D;27,5;D;2,33;2,03;2,39;D;32;D;;;
3;12;853;0;A;0;anthyllis;anthyllis;anthyllis;25;27,5;D;2,42;2,88;2,06;29;29;D;;;
3;12;856;0;D;0;dorycnium;dorycnium;dorycnium;22;36,5;C;3,2;3,97;2,33;28,5;39;C;;;
3;12;857;1;D;0;dorycnium;dorycnium;dorycnium;23,5;NA;D;2,05;2,77;2;26;NA;D;;;
3;12;858;0;M;1;anthyllis;dorycnium;pistachia;25;45;29;3,53;3,27;5,07;26;46;29,5;;;
