Label,Site,COM,D.P.jun,D.T.jun,D.A.jun,D.P.oct,D.T.oct,D.A.oct,H.1.oct,H.2.oct,H.3.oct
1,p,A,,,0,,,,,,
2,o,A,,,0,,,,,,
3,o,M,1,0,0,,,,,,
4,p,M,1,0,0,,,,,,
5,o,P,3,,,,,,,,
6,p,P,3,,,,,,,,
7,o,T,,1,,,,,,,
8,o,P,3,,,,,,,,
9,p,P,3,,,,,,,,
10,p,T,,0,,,,,,,
11,p,T,,0,,,,,,,
12,o,T,,0,,,,,,,
13,o,A,,,0,,,,,,
14,p,A,,,0,,,,,,
15,o,A,,,0,,,,,,
16,p,A,,,0,,,,,,
17,o,M,1,0,0,,,,,,
18,p,M,1,0,0,,,,,,
19,o,T,,0,,,,,,,
20,p,T,,1,,,,,,,
21,o,M,0,0,0,,,,,,
22,p,M,1,0,0,,,,,,
23,p,P,0,,,,,,,,
24,o,P,3,,,,,,,,
25,p,P,2,,,,,,,,
26,o,P,3,,,,,,,,
28,p,M,0,1,0,,,,,,
29,o,M,0,0,0,,,,,,
30,p,T,,0,,,,,,,
31,p,P,2,,,,,,,,
45,o,T,,0,,,,,,,
33,o,P,3,,,,,,,,
27,o,T,,0,,,,,,,
32,p,T,,0,,,,,,,
34,o,A,,,1,,,,,,
35,p,A,,,1,,,,,,
37,p,A,,,0,,,,,,
38,o,A,,,0,,,,,,
36,p,P,3,,,,,,,,
40,o,P,3,,,,,,,,
39,p,M,0,0,1,,,,,,
41,o,M,0,1,0,,,,,,
42,p,P,3,,,,,,,,
43,o,P,3,,,,,,,,
44,o,P,0,,,,,,,,
47,p,P,3,,,,,,,,
46,o,A,,,0,,,,,,
48,p,A,,,0,,,,,,
999,o,P,3,,,,,,,,
49,p,P,3,,,,,,,,
NA,o,A,,,1,,,,,,
52,p,A,,,0,,,,,,
54,p,P,2,,,,,,,,
55,o,P,3,,,,,,,,
56,p,A,,,2,,,,,,
57,o,A,,,0,,,,,,
58,p,P,3,,,,,,,,
59,o,P,,,,,,,,,
60,p,M,0,0,0,,,,,,
61,o,M,1,0,0,,,,,,
62,o,M,1,0,0,,,,,,
63,p,M,1,0,0,,,,,,
84,p,M,1,1,0,,,,,,
83,o,M,,,,,,,,,
85,p,A,,,,,,,,,
55,o,A,,,,,,,,,
79,p,M,1,0,0,,,,,,
81,o,M,0,0,0,,,,,,
80,o,M,1,0,0,,,,,,
82,p,M,0,0,0,,,,,,
75,o,A,,,0,,,,,,
78,p,A,,,0,,,,,,
76,o,P,3,,,,,,,,
77,p,P,3,,,,,,,,
66,p,M,0,0,0,,,,,,
74,o,M,1,0,0,,,,,,
71,p,T,,0,,,,,,,
70,o,T,,0,,,,,,,
72,o,A,,,0,,,,,,
73,p,A,,,0,,,,,,
69,p,M,1,0,0,,,,,,
68,o,M,1,0,0,,,,,,
51,p,T,,0,,,,,,,
67,o,T,,0,,,,,,,
97,o,A,,,0,,,,,,
86,p,A,,,0,,,,,,
87,o,A,,,0,,,,,,
88,p,A,,,0,,,,,,
84,p,A,,,0,,,,,,
89,o,A,,,0,,,,,,
90,o,A,,,0,,,,,,
91,p,A,,,1,,,,,,
93,o,P,3,,,,,,,,
92,p,P,3,,,,,,,,
99,o,M,0,0,0,,,,,,
98,p,M,1,0,0,,,,,,
100,o,M,0,1,0,,,,,,
101,p,M,0,0,0,,,,,,
107,o,A,,,0,,,,,,
106,p,A,,,3,,,,,,
108,p,P,2,,,,,,,,
109,o,P,3,,,,,,,,
104,o,M,0,0,0,,,,,,
105,p,M,1,1,1,,,,,,
165,p,M,0,0,0,,,,,,
138,o,M,1,0,0,,,,,,
96,o,T,,1,,,,,,,
157,p,T,,0,,,,,,,
158,o,M,1,1,0,,,,,,
156,p,M,1,0,0,,,,,,
139,p,T,,0,,,,,,,
159,o,T,,0,,,,,,,
115,o,T,,0,,,,,,,
133,p,M,1,0,0,,,,,,
132,p,T,,0,,,,,,,
126,p,P,1,,,,,,,,
125,o,P,3,,,,,,,,
113,o,P,2,,,,,,,,
119,p,P,3,,,,,,,,
117,o,P,2,,,,,,,,
112,p,P,3,,,,,,,,
122,o,T,,3,,,,,,,
121,p,T,,0,,,,,,,
140,o,M,1,1,0,,,,,,
142,p,M,1,1,0,,,,,,
146,o,P,1,,,,,,,,
145,p,P,3,,,,,,,,
118,p,T,,3,,,,,,,
137,o,T,,1,,,,,,,
147,o,T,,0,,,,,,,
148,p,T,,1,,,,,,,
163,o,P,3,,,,,,,,
164,p,P,3,,,,,,,,
162,o,M,0,0,0,,,,,,
161,p,M,1,1,1,,,,,,
152,p,T,,3,,,,,,,
141,o,T,,3,,,,,,,
149,p,T,,0,,,,,,,
150,o,T,,1,,,,,,,
95,p,P,3,,,,,,,,
160,o,P,0,,,,,,,,
151,p,P,,,,,,,,,
135,o,P,,,,,,,,,
172,p,T,,1,,,,,,,
171,o,T,,0,,,,,,,
167,p,A,,,2,,,,,,
168,o,A,,,3,,,,,,
169,p,P,3,,,,,,,,
187,o,P,3,,,,,,,,
170,p,A,,,3,,,,,,
189,o,A,,,1,,,,,,
173,o,A,,,1,,,,,,
147,p,A,,,,,,,,,
175,p,P,3,,,,,,,,
176,o,P,3,,,,,,,,
177,o,T,,,0,,,,,,
178,p,T,,,1,,,,,,
174,p,A,,,1,,,,,,
179,p,A,,,1,,,,,,
180,o,A,,,0,,,,,,
1234,p,M,1,0,1,,,,,,
183,o,M,1,0,0,,,,,,
182,o,P,3,,,,,,,,
181,p,P,3,,,,,,,,
197,p,P,3,,,,,,,,
188,o,P,3,,,,,,,,
186,o,T,,1,,,,,,,
185,p,T,,1,,,,,,,
192,p,P,0,,,,,,,,
194,o,P,2,,,,,,,,
1218,p,T,,0,,,,,,,
1208,o,T,,0,,,,,,,
1207,o,A,,,1,,,,,,
195,p,A,,,0,,,,,,
1219,p,A,,,0,,,,,,
1217,o,A,,,1,,,,,,
1241,o,T,,0,,,,,,,
1243,p,T,,0,,,,,,,
1239,o,A,,,0,,,,,,
1240,p,A,,,0,,,,,,
1206,p,T,,0,,,,,,,
1225,o,T,,0,,,,,,,
1233,o,T,,1,,,,,,,
1237,p,T,,0,,,,,,,
1238,p,M,1,0,1,,,,,,
1238,o,M,1,0,0,,,,,,
1235,o,T,,,,,,,,,
1224,p,T,,,,,,,,,
1232,o,A,,,1,,,,,,
1231,p,A,,,2,,,,,,
1230,p,M,1,0,1,,,,,,
1223,o,M,1,0,1,,,,,,
1220,p,M,1,0,0,,,,,,
1229,o,M,1,0,0,,,,,,
1228,p,M,1,0,0,,,,,,
1227,o,M,1,0,1,,,,,,
1216,o,A,,,0,,,,,,
1215,p,A,,,0,,,,,,
1000,o,T,,0,,,,,,,
1226,p,T,,0,,,,,,,
1213,p,M,0,0,0,,,,,,
199,o,M,0,0,0,,,,,,
1211,p,T,,0,,,,,,,
1205,o,T,,0,,,,,,,
1212,o,T,,0,,,,,,,
1210,p,T,,0,,,,,,,
1209,o,P,3,,,,,,,,
879,p,P,3,,,,,,,,
1205,o,M,1,1,1,,,,,,
1204,p,M,1,0,0,,,,,,
200,p,T,,,,,,,,,
198,o,T,,,,,,,,,
1202,p,A,,,1,,,,,,
1201,o,A,,,0,,,,,,
196,o,A,,,,,,,,,
193,p,A,,,2,,,,,,
1269,o,M,1,0,0,,,,,,
1251,p,M,1,1,1,,,,,,
1252,p,T,,2,,,,,,,
1276,o,T,,1,,,,,,,
1328,o,P,0,,,,,,,,
1266,p,P,3,,,,,,,,
1265,p,T,,3,,,,,,,
1264,p,T,,,,,,,,,
1267,p,P,3,,,,,,,,
1222,p,P,3,,,,,,,,
1221,o,P,3,,,,,,,,
1291,o,P,3,,,,,,,,
1270,p,P,3,,,,,,,,
1271,o,P,3,,,,,,,,
1277,o,M,1,0,0,,,,,,
1278,p,M,1,1,0,,,,,,
1280,p,A,,,3,,,,,,
1279,o,A,,,2,,,,,,
1281,o,A,,,1,,,,,,
1282,p,A,,,2,,,,,,
1283,p,A,,,0,,,,,,
1288,o,A,,,0,,,,,,
1284,o,M,1,0,0,,,,,,
1285,p,M,1,1,1,,,,,,
1286,p,T,,0,,,,,,,
1287,o,A,,,1,,,,,,
1289,o,M,1,0,1,,,,,,
1290,p,M,1,1,1,,,,,,
1268,p,A,,,1,,,,,,
1273,o,A,,,0,,,,,,
1274,o,A,,,0,,,,,,
1275,p,A,,,0,,,,,,
1262,p,M,1,1,1,,,,,,
1263,o,M,1,0,0,,,,,,
1257,o,P,3,,,,,,,,
1256,p,P,3,,,,,,,,
1255,o,P,3,,,,,,,,
1258,p,P,3,,,,,,,,
1261,p,M,1,0,1,,,,,,
1321,o,M,1,0,0,,,,,,
1254,o,A,0,0,2,,,,,,
1253,p,A,,,1,,,,,,
1259,o,M,1,0,1,,,,,,
1326,p,M,1,0,1,,,,,,
1324,o,M,1,1,1,,,,,,
1318,p,M,1,1,0,,,,,,
1323,o,P,2,,,,,,,,
1320,p,P,3,,,,,,,,
1310,p,A,,,,,,,,,
1307,o,A,,,,,,,,,
1309,p,T,,1,,,,,,,
1306,o,T,,1,,,,,,,
1308,o,T,,2,,,,,,,
1305,p,T,,1,,,,,,,
1204,o,T,,1,,,,,,,
1294,p,T,,,,,,,,,
1325,p,T,,3,,,,,,,
1292,o,T,,3,,,,,,,
1301,o,A,,,0,,,,,,
1300,p,A,,,1,,,,,,
1296,p,T,,2,,,,,,,
1295,o,T,,2,,,,,,,
1299,p,M,1,1,0,,,,,,
1298,o,M,1,0,1,,,,,,
1311,o,A,,,0,,,,,,
1312,p,A,,,0,,,,,,
1313,p,P,3,,,,,,,,
1314,o,P,3,,,,,,,,
1315,p,P,3,,,,,,,,
1293,o,P,3,,,,,,,,
1260,o,T,,3,,,,,,,
1316,p,T,,2,,,,,,,
1322,o,T,,3,,,,,,,
1327,p,T,,2,,,,,,,
