ter;plot;label;ms;open
2;5;561;0;
2;5;562;1;561
2;5;563;1;565
2;5;564;1;568
2;5;565;0;
2;5;566;1;582
2;5;567;1;569
2;5;568;0;
2;5;569;0;
2;5;570;0;
2;5;571;1;570
2;5;577;0;
2;5;579;0;
2;5;580;1;579
2;5;581;1;577
2;5;582;0;
2;5;583;1;607
2;5;584;1;593
2;5;585;1;591
2;5;586;1;587
2;5;587;0;
2;5;589;0;
2;5;590;0;
2;5;591;0;
2;5;592;0;
2;5;593;0;
2;5;594;1;595
2;5;595;0;
2;5;596;1;597
2;5;597;0;
2;5;598;1;599
2;5;599;0;
2;5;600;1;603
2;5;601;0;
2;5;602;1;601
2;5;603;0;
2;5;607;0;
2;5;611;0;
2;5;612;1;611
2;5;613;1;615
2;5;615;0;
2;5;617;0;
2;5;618;1;617
2;5;619;0;
2;5;620;1;619
2;5;622;0;
2;5;623;1;622
2;5;624;0;
2;5;625;1;624
2;5;626;1;627
2;5;627;0;
2;5;628;0;
2;5;629;1;628
2;5;630;1;631
2;5;631;0;
2;5;632;1;633
2;5;633;0;
2;5;634;0;
2;5;635;1;634
2;5;636;0;
2;5;637;1;636
2;5;638;1;590
2;6;482;1;483
2;6;483;0;
2;6;484;1;486
2;6;485;1;487
2;6;486;0;
2;6;488;1;489
2;6;489;0;
2;6;490;0;
2;6;491;1;490
2;6;494;0;
2;6;495;1;494
2;6;502;1;503
2;6;503;0;
2;6;504;1;505
2;6;505;0;
2;6;506;1;520
2;6;507;1;508
2;6;508;0;
2;6;509;0;
2;6;510;1;509
2;6;511;0;
2;6;512;1;511
2;6;514;1;515
2;6;515;0;
2;6;516;1;513
2;6;518;0;
2;6;519;1;542
2;6;520;0;
2;6;521;1;522
2;6;522;0;
2;6;523;1;524
2;6;524;0;
2;6;525;0;
2;6;528;1;525
2;6;535;0;
2;6;536;1;535
2;6;537;1;538
2;6;538;0;
2;6;539;1;540
2;6;540;0;
2;6;541;1;
2;6;542;0;
2;6;543;0;
2;6;544;1;543
2;6;549;1;550
2;6;550;0;
2;6;551;0;
2;6;552;1;551
2;6;555;1;556
2;6;556;0;
2;6;557;1;558
2;6;558;0;
2;6;559;1;560
2;6;560;0;
2;7;641;0;
2;7;642;1;641
2;7;644;0;
2;7;646;1;644
2;7;648;0;
2;7;649;1;648
2;7;656;0;
2;7;657;1;656
2;7;658;0;
2;7;659;1;658
2;7;660;1;661
2;7;661;0;
2;7;662;1;663
2;7;663;0;
2;7;668;1;669
2;7;669;0;
2;7;670;0;
2;7;671;1;670
2;7;672;0;
2;7;673;1;672
2;7;674;1;675
2;7;675;0;
2;7;684;1;685
2;7;685;0;
2;7;692;1;691
2;7;691;0;
2;7;694;1;698
2;7;698;0;
2;7;700;0;
2;7;701;1;700
2;7;722;0;
2;7;723;1;722
2;8;401;0;
2;8;402;1;401
2;8;403;0;
2;8;405;1;403
2;8;407;1;419
2;8;408;1;412
2;8;409;1;410
2;8;410;0;
2;8;412;0;
2;8;413;0;
2;8;414;1;413
2;8;415;0;
2;8;416;1;415
2;8;417;0;
2;8;418;1;417
2;8;419;0;
2;8;420;1;421
2;8;421;0;
2;8;424;0;
2;8;425;1;424
2;8;427;0;
2;8;428;1;427
2;8;429;0;
2;8;430;1;429
2;8;431;0;
2;8;432;0;
2;8;433;1;432
2;8;435;0;
2;8;436;1;435
2;8;437;0;
2;8;438;1;437
2;8;443;0;
2;8;444;0;
2;8;445;1;444
2;8;446;1;443
2;8;449;0;
2;8;450;1;449
2;8;451;0;
2;8;452;1;451
2;8;453;0;
2;8;454;1;453
2;8;458;1;457
2;8;459;1;460
2;8;460;0;
2;8;461;1;462
2;8;462;0;
2;8;463;0;
2;8;464;1;463
2;8;466;1;465
2;8;467;1;468
2;8;468;0;
2;8;470;0;
2;8;471;1;470
2;8;472;1;469
2;8;473;0;
2;8;474;1;473
2;8;477;1;478
2;8;478;0;
2;8;479;0;
2;8;480;1;479
3;9;881;0;
3;9;882;1;881
3;9;887;0;
3;9;888;1;887
3;9;889;1;890
3;9;890;0;
3;9;891;0;
3;9;892;1;891
3;9;897;1;898
3;9;898;0;
3;9;899;0;
3;9;900;1;899
3;9;1329;1;901
3;9;901;0;
3;9;905;0;
3;9;906;1;905
3;9;907;0;
3;9;908;1;907
3;9;912;1;913
3;9;911;0;
3;9;914;1;915
3;9;915;0;
3;9;916;1;917
3;9;917;0;
3;9;918;0;
3;9;919;1;918
3;9;920;0;
3;9;921;1;920
3;9;922;1;923
3;9;923;0;
3;9;924;0;
3;9;925;1;924
3;9;926;0;
3;9;927;1;926
3;9;928;0;
3;9;929;1;928
3;9;930;1;931
3;9;931;0;
3;9;932;1;933
3;9;933;0;
3;9;934;0;
3;9;935;1;934
3;9;936;0;
3;9;937;1;936
3;9;938;0;
3;9;939;1;938
3;9;941;0;
3;9;942;1;941
3;9;943;0;
3;9;944;1;943
3;9;947;1;948
3;9;948;0;
3;9;952;0;
3;9;956;1;957
3;9;957;0;
3;9;958;0;
3;9;959;1;958
3;10;1103;0;
3;11;1010;0;
3;10;1114;1;1113
3;10;1117;1;1118
3;10;1118;0;
3;10;1120;0;
3;10;1121;1;1120
3;10;1131;0;
3;10;1077;1;1131
3;10;1134;0;
3;10;1135;1;1134
3;10;1137;0;
3;10;1138;1;1137
3;10;1139;0;
3;10;1124;1;1139
3;10;1143;0;
3;10;1144;1;1143
3;10;1145;1;1146
3;10;1146;0;
3;10;1148;1;1149
3;10;1149;0;
3;10;1051;0;
3;10;1052;1;1050
3;10;1059;1;1060
3;10;1060;0;
3;10;1064;1;1065
3;10;1065;0;
3;10;1067;0;
3;10;1068;1;1067
3;10;1071;1;1072
3;10;1072;0;
3;11;1022;0;
3;11;1023;1;1022
3;11;1026;0;
3;11;1027;1;1026
3;11;1029;1;1030
3;11;1030;0;
3;11;1031;0;
3;11;1032;1;1031
3;11;1033;0;
3;11;1034;1;1035
3;11;1035;0;
3;11;1037;0;
3;11;1038;1;1233
3;11;1039;1;1037
3;11;1040;0;
3;11;1041;0;
3;11;1042;1;1041
3;11;1043;0;
3;11;1044;1;1043
3;11;1045;1;1046
3;11;1046;0;
3;11;1047;0;
3;11;1048;1;1047
3;11;1049;0;
3;11;1050;0;
3;11;1151;1;1050
3;11;1152;1;1053
3;11;1153;0;
3;11;1154;1;1155
3;11;1155;0;
3;11;1080;1;1040
3;11;1156;0;
3;11;1081;1;1049
3;11;1084;0;
3;11;1088;1;1089
3;11;1089;0;
3;11;1092;1;1093
3;11;1093;0;
3;11;1094;0;
3;11;1159;0;
3;11;1095;1;1159
3;11;1096;1;1197
3;11;1099;1;110
3;11;1100;0;
3;11;1001;0;
3;11;1002;1;1001
3;11;1003;1;1004
3;11;1004;0;
3;11;1005;1;1009
3;11;1006;1;1007
3;11;1007;0;
3;11;1009;0;
3;11;1012;0;
3;11;1013;1;1012
3;11;1014;0;
3;11;1015;1;1014
3;11;1018;1;1094
3;11;1019;1;1021
3;11;1021;0;
3;12;801;0;
3;12;802;1;801
3;12;804;0;
3;12;805;1;803
3;12;806;1;804
3;12;809;0;
3;12;810;1;811
3;12;811;0;
3;12;814;0;
3;12;815;1;814
3;12;816;0;
3;12;817;1;816
3;12;818;0;
3;12;821;1;818
3;12;822;0;
3;12;823;0;
3;12;824;1;825
3;12;825;0;
3;12;834;0;
3;12;835;1;838
3;12;836;0;
3;12;833;1;836
3;12;837;0;
3;12;838;1;837
3;12;839;0;
3;12;842;1;843
3;12;843;0;
3;12;844;1;839
3;12;847;0;
3;12;848;1;847
3;12;849;0;
3;12;850;1;849
3;12;851;1;852
3;12;852;0;
3;12;853;0;
3;12;856;0;
3;12;858;0;
3;12;859;1;858
3;12;860;1;863
3;12;861;0;
3;12;862;1;861
3;12;864;0;
3;12;865;1;853
3;12;866;1;864
3;12;867;0;
3;12;868;1;867
3;12;869;0;
3;12;870;0;
3;12;874;1;869
3;12;875;0;
3;12;876;1;875
3;12;877;0;
4;13;360;1;361
4;13;361;0;
4;13;362;0;
4;13;363;1;364
4;13;962;0;
4;13;365;0;
4;13;366;1;367
4;13;367;0;
4;13;368;1;391
4;13;369;1;371
4;13;370;1;372
4;13;371;0;
4;13;372;0;
4;13;373;1;362
4;13;374;1;365
4;13;375;1;376
4;13;376;0;
4;13;378;0;
4;13;383;0;
4;13;386;1;378
4;13;384;1;383
4;13;388;0;
4;13;998;1;
4;13;390;1;789
4;13;391;0;
4;13;392;0;
4;13;393;1;392
4;13;394;1;395
4;13;395;0;
4;13;398;0;
4;13;399;0;
4;13;400;1;399
4;13;960;0;
4;13;961;1;383
4;13;963;1;969
4;13;967;0;
4;13;968;1;967
4;13;969;0;
4;13;970;0;
4;13;971;1;972
4;13;972;0;
4;13;975;1;976
4;13;976;0;
4;13;977;0;
4;13;978;1;979
4;13;979;0;
4;13;980;0;
4;13;981;1;982
4;13;982;0;
4;13;983;0;
4;13;984;1;983
4;13;985;1;960
4;13;986;1;987
4;13;987;0;
4;13;988;0;
4;13;990;1;988
4;13;991;1;
4;13;993;0;
4;13;994;1;993
4;13;995;1;
4;13;996;0;
4;13;997;1;996
4;14;281;0;
4;14;282;1;
4;14;284;0;
4;14;285;1;284
4;14;288;0;
4;14;289;1;
4;14;291;0;
4;14;292;1;
4;14;293;0;
4;14;294;1;
4;14;296;0;
4;14;297;1;
4;14;300;1;
4;14;301;0;
4;14;303;1;
4;14;304;0;
4;14;308;1;309
4;14;309;0;
4;14;310;0;
4;14;311;0;
4;14;312;0;
4;14;313;0;
4;14;314;1;312
4;14;315;1;313
4;14;316;1;317
4;14;317;0;
4;14;319;0;
4;14;320;0;
4;14;321;1;320
4;14;325;0;
4;14;326;1;325
4;14;327;1;328
4;14;328;0;
4;14;330;0;
4;14;331;1;330
4;14;332;0;
4;14;334;1;332
4;14;335;0;
4;14;336;1;335
4;14;337;0;
4;14;338;1;338
4;14;339;0;
4;14;340;1;339
4;14;341;0;
4;14;342;1;341
4;14;344;0;
4;14;345;1;344
4;14;346;0;
4;14;347;0;
4;14;348;1;346
4;14;349;1;347
4;14;350;1;351
4;14;351;0;
4;14;352;1;352
4;14;353;0;
4;14;354;1;355
4;14;356;0;
4;14;357;1;356
4;15;1452;0;
4;15;1453;1;1452
4;15;1455;0;
4;15;1457;0;
4;15;1458;1;1457
4;15;1459;0;
4;15;1460;0;
4;15;1462;1;1460
4;15;1463;1;1464
4;15;1464;0;
4;15;1465;1;1459
4;15;1466;0;
4;15;1467;1;1466
4;15;1468;0;
4;15;1469;0;
4;15;1470;1;1468
4;15;1471;0;
4;15;1472;1;1471
4;15;1473;1;1474
4;15;1474;0;
4;15;1475;1;1488
4;15;1476;1;1969
4;15;1477;1;1478
4;15;1478;0;
4;15;1481;1;1482
4;15;1482;0;
4;15;1483;0;
4;15;1484;1;1483
4;15;1485;0;
4;15;1486;1;1485
4;15;1488;0;
4;15;1490;0;
4;15;1454;0;
4;15;1495;1;1496
4;15;1496;0;
4;15;1497;1;1498
4;15;1498;0;
4;15;1500;1;1499
4;15;1501;0;
4;15;1503;1;1504
4;15;1504;0;
4;15;1505;1;1506
4;15;1506;0;
4;15;1507;0;
4;15;1508;1;1507
4;15;1509;0;
4;15;1510;1;1509
4;15;1512;1;1513
4;15;1513;0;
4;15;1515;0;
4;15;1523;1;1524
4;15;1524;0;
4;15;1526;1;1527
4;15;1527;0;
4;15;1528;0;
4;15;1529;1;1528
4;15;1530;1;1501
4;15;1531;1;1455
