ter	plot	label	ms	com	watering	sp1	sp2	sp3	h1	h2	h3	d1	d2	d3	fresh_mass1	fresh_mass2	fresh_mass3	fresh_m_f1	fresh_m_f2	fresh_m_f3
2	5	561	0	M	1	dorycnium	anthyllis	pistachia	22	16	21,3	3,15	1,85	3,62	0,074	0,256	1,272		0,174	1,071
2	5	562	1	M	1	pistachia	anthyllis	dorycnium	19,5	18	27,7	2,58	1,49	2,05	0,68	0,08	0,049	0,592	0,075	
2	5	563	1	A	1	anthyllis	anthyllis	anthyllis	12,5	7,5	14,4	1,41	1,16	1,79	0,076		0,082	0,069		0,077
2	5	564	1	D	1	dorycnium	dorycnium	dorycnium	22,5	29,5	29	2,64	2,96	2,97	0,11	0,073	0,068			
2	5	565	0	A	0	anthyllis	anthyllis	anthyllis	23	31	23,5	2,66	1,88	2,38	0,133		0,071	0,122		0,062
2	5	566	1	D	1	dorycnium	dorycnium	dorycnium	31	25	29,3	2,52	2,4	2,6						
2	5	567	1	M	1	pistachia	anthyllis	dorycnium	23,9	26,2	28,5	3,53	2,58	4,24	0,595	0,11	0,086	0,49	0,107	
2	5	568	0	D	0	dorycnium	dorycnium	dorycnium	28,3	25,8	29,5	2,67	2,94	2,5	0,06	0,035				
2	5	569	0	M	0	pistachia	dorycnium	anthyllis	13	26,8	12,9	4	1,64	2,18		0,042	0,072			0,063
2	5	570	0	P	0	pistachia	pistachia	pistachia	21,5	20,3	25,9	4,55	3,65	4,54	0,634			0,499		
2	5	571	1	P	1	pistachia	pistachia	pistachia	22,5	26,1	19,2	3,45	3,53	4	1,003	0,703	0,919	0,858	0,587	0,788
2	5	577	0	P	0	pistachia	pistachia	pistachia	16	15	22,4	2,57	2,66	2,87	0,349	0,394		0,296	0,311	
2	5	579	0	M	1	dorycnium	anthyllis	pistachia	33,8	22	24	4,4	2,45	2,84	0,041	0,135	1,003		0,128	0,823
2	5	580	1	M	1	pistachia	anthyllis	dorycnium	28	26	31	4,07	3,07	2,97	0,791	0,139		0,663	0,13	
2	5	581	1	P	0	pistachia	pistachia	pistachia	23	25,5	24,5	3,22	3,42	4,07	0,686	0,846	0,944	0,574	0,718	0,824
2	5	582	0	D	1	dorycnium	dorycnium	dorycnium	27,3	30	28,6	3,99	3,07	3,91	0,105	0,056	0,04			
2	5	583	1	M	1	dorycnium	anthyllis	pistachia	24	36	15,8	2,6	3,14	3,79	0,066	0,123	0,601		0,112	0,495
2	5	584	1	D	0	dorycnium	dorycnium	dorycnium	27	31	31,9	3,46	3,7	4,62						
2	5	585	1	P	1	pistachia	pistachia	pistachia	30	29,5	23	4,12	5,9	3,24	0,687	1,119	0,691	0,575	0,926	0,591
2	5	586	1	A	0	anthyllis	anthyllis	anthyllis	16	15,9	16,5	2,73	3,17	2,16			0,046			0,04
2	5	587	0	A	1	anthyllis	anthyllis	anthyllis	25	12	17,2	2,49	2,2	2,39						
2	5	589	0	M	0	anthyllis	pistachia	dorycnium	7,8	22,2	21	1,64	2,58	3,05		0,45	0,109		0,377	
2	5	590	0	P	1	pistachia	pistachia	pistachia	26,2	29,3	24	2,79	3,24	2,81	0,65	0,546	0,554	0,538	0,476	0,448
2	5	591	0	P	0	pistachia	pistachia	pistachia	26,5	26,5	23,3	2,98	4,44	3,85	0,665	0,776	0,745	0,561	0,624	0,643
2	5	592	0	P	0	pistachia	pistachia	pistachia	32,2	30,6	25,7	3,6	4,4	4,68	0,863	0,722	0,789	0,65	0,587	0,671
2	5	593	0	D	0	dorycnium	dorycnium	dorycnium	30	28,8	28,6	2,43	2,36	1,76	0,04	0,091	0,049			
2	5	594	1	A	1	anthyllis	anthyllis	anthyllis	15,5	22,5	19	2,31	2,73	2,41	0,149	0,098	0,126	0,139	0,085	0,111
2	5	595	0	A	0	anthyllis	anthyllis	anthyllis	44	29,3	31,4	2,05	2,97	2,77		0,07			0,061	
2	5	596	1	M	1	pistachia	anthyllis	dorycnium	21,1	22,9	27,5	3,86	2,72	3,06	0,477	0,044	0,069	0,401	0,041	
2	5	597	0	M	0	pistachia	dorycnium	anthyllis	20	29,5	29,8	3,46	3,81	2,53		0,099	0,102			0,094
2	5	598	1	P	0	pistachia	pistachia	pistachia	29,9	27,3	17	4,12	3,3	2,23		0,349	0,511		0,284	0,435
2	5	599	0	P	0	pistachia	pistachia	pistachia	29,3	27,9	23,2	4,91	3,99	4,7						
2	5	600	1	A	1	anthyllis	anthyllis	anthyllis	13	30	22,5	2,14	2,16	2,99		0,179			0,161	
2	5	601	0	P	1	pistachia	pistachia	pistachia	19,5	19,1	24,3	3,4	2,77	2,16	0,812	0,793	0,574	0,689	0,666	0,496
2	5	602	1	P	0	pistachia	pistachia	pistachia	28,9	21,2	24	3,68	3,6	3,73	0,448		0,435	0,382		0,346
2	5	603	0	A	1	anthyllis	anthyllis	anthyllis	18,5	6,5	26,5	1,13	1,95	2,53		0,135	0,069		0,121	0,062
2	5	607	0	D	1	dorycnium	dorycnium	dorycnium	20,3	27,8	32,7	1,56	2,2	2,73		0,033	0,075			
2	5	611	0	D	0	dorycnium	dorycnium	dorycnium	31,3	18,3	25,5	1,56	2,08	2,42	0,036		0,049			
2	5	612	1	D	1	dorycnium	dorycnium	dorycnium	25,5	31	34,5	3,03	2,87	2,45	0,062	0,034	0,068			
2	5	613	1	A	0	anthyllis	anthyllis	anthyllis	17,5	16,4	33,8	2,71	1,95	2,71						
2	5	615	0	A	0	anthyllis	anthyllis	anthyllis	20,4	43,8	26	2,13	2,57	2,4						
2	5	617	0	D	0	dorycnium	dorycnium	dorycnium	28,5	29	28,5	2,23	2,4	2,86						
2	5	618	1	D	0	dorycnium	dorycnium	dorycnium	31	31,5	36,1	2,06	2,83	2,6						
2	5	619	0	M	0	dorycnium	pistachia	anthyllis	28,4	13,4	14,3	1,75	3,15	1,87						
2	5	620	1	M	1	anthyllis	dorycnium	pistachia	18,4	21,2	23,8	2,13	1,64	3,26						
2	5	622	0	M	0	pistachia	anthyllis	dorycnium	19,2	21,1	21,4	3,08	2,31	2,59						
2	5	623	1	M	0	pistachia	anthyllis	dorycnium	23,7	19,6	34,3	3,76	3,46	3,73						
2	5	624	0	A	0	anthyllis	anthyllis	anthyllis	16,6	31,4	18,8	2,33	2,16	3,09						
2	5	625	1	A	0	anthyllis	anthyllis	anthyllis	27	22,3	23,9	2,4	2,87	2,78						
2	5	626	1	P	1	pistachia	pistachia	pistachia	27,5	25	24,7	4,61	4,57	4,48						
2	5	627	0	P	1	pistachia	pistachia	pistachia	27,5	25,4	26,3	4,9	5,03	3,09						
2	5	628	0	D	0	dorycnium	dorycnium	dorycnium	28,3	34,6	25,5	2,69	2,9	3,53						
2	5	629	1	D	0	dorycnium	dorycnium	dorycnium	27,5	25	27,2	4,25	3,7	2,59						
2	5	630	1	D	0	dorycnium	dorycnium	dorycnium	28,4	27,4	26,8	3,33	2,01	2,27						
2	5	631	0	D	0	dorycnium	dorycnium	dorycnium	19,9	27,6	24,9	3,51	2,93	1,96						
2	5	632	1	A	1	anthyllis	anthyllis	anthyllis	22,5	18,6	10	2,01	2,66	2,5						
2	5	633	0	A	1	anthyllis	anthyllis	anthyllis	21,3	21,5	26,6	3,58	3,2	2,24						
2	5	634	0	A	0	anthyllis	anthyllis	anthyllis	12,7	19,5	21,5	1,73	2,62	3,24						
2	5	635	1	A	1	anthyllis	anthyllis	anthyllis	17,7	21,9	30,9	2,65	2,48	2,65						
2	5	636	0	D	1	dorycnium	dorycnium	dorycnium	24,6	24,4	23,6	2,48	2,17	2,56						
2	5	637	1	D	0	dorycnium	dorycnium	dorycnium	29,5	33,6	37	2,47	2,55	2,62						
2	5	638	1	P	1	pistachia	pistachia	pistachia	21	29	23,5	3,19	5,55	4,38						
2	6	482	1	D	1	dorycnium	dorycnium	dorycnium	30,1	16	31,9	2,86	2,43	1,87						
2	6	483	0	D	0	dorycnium	dorycnium	dorycnium	26,2	28,8	30,5	2,92	2,6	4,88						
2	6	484	1	M	1	pistachia	dorycnium	anthyllis	27,7	28,8	6,6	3,2	2,31	1,62						
2	6	485	1	A	0	anthyllis	anthyllis	anthyllis	19	20,4	9,1	3,52	2,45	2,27						
2	6	486	0	M	0	dorycnium	anthyllis	pistachia	30,1	19,6	28,6	2,34	2,09	4,94						
2	6	488	1	A	1	anthyllis	anthyllis	anthyllis	22,2	18,1	17,5	2,01	2,61	2,18						
2	6	489	0	A	1	anthyllis	anthyllis	anthyllis	17	27,2	20,4	2,76	3,16	2,5						
2	6	490	0	D	1	dorycnium	dorycnium	dorycnium	26,7	31,4	29	2,04	2,64	2,65						
2	6	491	1	D	0	dorycnium	dorycnium	dorycnium	26,1	23,5	25,8	2,15	1,74	1,55						
2	6	494	0	A	1	anthyllis	anthyllis	anthyllis	18,4	19,8	19,9	1,75	2,4	3,6						
2	6	495	1	A	0	anthyllis	anthyllis	anthyllis	23,2	19,5	22	2,34	2,41	2,38						
2	6	502	1	P	0	pistachia	pistachia	pistachia	26,6	17,6	22,6	3,89	2,65	2,98						
2	6	503	0	P	0	pistachia	pistachia	pistachia	33,6	24,5	13,8	3,84	3,31	2,76						
2	6	504	1	P	1	pistachia	pistachia	pistachia	26,3	26	21	3,76	4,49	3,77						
2	6	505	0	P	1	pistachia	pistachia	pistachia	21,4	28,6	25,8	3,61	3,63	5,28						
2	6	506	1	D	1	dorycnium	dorycnium	dorycnium	30,5	30,7	28,1	2,63	3,9	4,03						
2	6	507	1	D	1	dorycnium	dorycnium	dorycnium	27,7	25,4	26,8	2,77	2,45	2,73						
2	6	508	0	D	1	dorycnium	dorycnium	dorycnium	19,7	23,3	27,8	2,66	2,05	3,27						
2	6	509	0	M	1	anthyllis	pistachia	dorycnium	27	25,8	25,9	2,29	3,4	2,59						
2	6	510	1	M	0	anthyllis	pistachia	dorycnium	17	24	29,2	1,53	3,61	2,82						
2	6	511	0	M	0	dorycnium	anthyllis	pistachia	29,1	28,5	22,5	3,06	3,76	3,3						
2	6	512	1	M	0	anthyllis	dorycnium	pistachia	17,8	24,2	21,8	2,43	2,73	3,07						
2	6	514	1	D	1	dorycnium	dorycnium	dorycnium	25,3	28,5	25,8	1,73	1,99	1,4						
2	6	515	0	D	1	dorycnium	dorycnium	dorycnium	29,7	34,9	29,7	3,24	3,53	3,29						
2	6	516	1	P	1	pistachia	pistachia	pistachia	22,9	25	25,8	3,05	4,88	4						
2	6	518	0	A	0	anthyllis	anthyllis	anthyllis	22	22,7	11	2,47	1,78	1,99						
2	6	519	1	M	0	anthyllis	dorycnium	pistachia	27,6	30,7	23,5	2,48	3,14	2,68						
2	6	520	0	D	1	dorycnium	dorycnium	dorycnium	27,5	29,2	29,5	2,8	2,52	2,35						
2	6	521	1	P	1	pistachia	pistachia	pistachia	20,8	25,4	17,6	3,21	4,63	3,87						
2	6	522	0	P	0	pistachia	pistachia	pistachia	25	31	16,4	5,15	4,02	4,2						
2	6	523	1	P	0	pistachia	pistachia	pistachia	23	27,2	27,3	3,59	4,86	3,62						
2	6	524	0	P	1	pistachia	pistachia	pistachia	19	30,2	21	4,37	4,16	3,24						
2	6	525	0	P	1	pistachia	pistachia	pistachia	21,9	25,5	23,4	2,72	3,89	4,88						
2	6	528	1	P	1	pistachia	pistachia	pistachia	17,5	26	24	2,39	3,99	3,98						
2	6	535	0	P	1	pistachia	pistachia	pistachia	29,8	19,2	21,5	4,44	4,43	3,81						
2	6	536	1	P	0	pistachia	pistachia	pistachia	22,2	21,6	26,7	3,72	3,86	3,8						
2	6	537	1	A	0	anthyllis	anthyllis	anthyllis	37,5	20	18,4	2,78	2,31	2,37						
2	6	538	0	A	1	anthyllis	anthyllis	anthyllis	13,1	13,2	14,5	2,75	2,85	2,26						
2	6	539	1	A	0	anthyllis	anthyllis	anthyllis	24,4	18,5	15,4	2,35	1,52	1,36						
2	6	540	0	A	0	anthyllis	anthyllis	anthyllis	13,4	18,4	13,6	2,53	1,92	3,39						
2	6	541	1	D	1	dorycnium	dorycnium	dorycnium	30,1	21,4	29	2,72	2,13	2,77						
2	6	542	0	M	1	anthyllis	pistachia	dorycnium	15,2	14,7	28,5	2,02	1,7	2,71						
2	6	543	0	D	1	dorycnium	dorycnium	dorycnium	27,3	32,4	27,2	4,3	3,19	1,6						
2	6	544	1	D	1	dorycnium	dorycnium	dorycnium	23,3	25,6	26,6	1,47	1,99	3,65						
2	6	549	1	D	1	dorycnium	dorycnium	dorycnium	29	11	26,9	3,2	2,47	2,36						
2	6	550	0	D	1	dorycnium	dorycnium	dorycnium	28,2	27	24	2,18	2,55	1,36						
2	6	551	0	M	0	pistachia	dorycnium	anthyllis	26,2	28	18,2	3,01	2,64	3,72						
2	6	552	1	M	1	anthyllis	dorycnium	pistachia	19,4	21,5	14	1,82	2,48	2,38						
2	6	555	1	A	1	anthyllis	anthyllis	anthyllis	22	27	18,7	3,13	2,81	2,93						
2	6	556	0	A	0	anthyllis	anthyllis	anthyllis	14	22	13,1	2,47	2,86	2						
2	6	557	1	M	1	pistachia	anthyllis	dorycnium	19,8	11,5	32	2,81	2,45	2,76						
2	6	558	0	M	0	anthyllis	pistachia	dorycnium	8,7	22	28,5	1,94	3,64	2,59						
2	6	559	1	A	0	anthyllis	anthyllis	anthyllis	13	14,4	21,5	1,48	2	2,16						
2	6	560	0	A	0	anthyllis	anthyllis	anthyllis	21,5	17,7	7,6	1,67	2,04	1,68						
2	7	641	0	A	1	anthyllis	anthyllis	anthyllis	23,3	13,2	5,9	3,08	1,21	1,07						
2	7	642	1	A	0	anthyllis	anthyllis	anthyllis	25,3	18,1	14,4	3,03	1,88	2,41						
2	7	644	0	D	1	dorycnium	dorycnium	dorycnium	19,1	32,5	23,8	2,07	2,34	2,9						
2	7	646	1	D	1	dorycnium	dorycnium	dorycnium	26,1	26,4	30,1	1,79	2,55	2,31						
2	7	648	0	D	0	dorycnium	dorycnium	dorycnium	27	20,4	27,8	2,46	1,59	2,26						
2	7	649	1	D	1	dorycnium	dorycnium	dorycnium	30	32,5	27,4	2,77	2,19	3,28						
2	7	656	0	M	0	dorycnium	pistachia	anthyllis	30,4	22,2	17,2	3,34	4,2	1,62						
2	7	657	1	M	1	anthyllis	dorycnium	pistachia	18	28,1	22,6	2,33	3,55	2,68						
2	7	658	0	A	0	anthyllis	anthyllis	anthyllis	23	22,7	21,8	2,02	2,13	3,01						
2	7	659	1	A	1	anthyllis	anthyllis	anthyllis	19,5	21,5	14,8	2,23	2,74	4,8						
2	7	660	1	M	1	anthyllis	pistachia	dorycnium	23,3	24	30,6	1,39	4,93	2,57						
2	7	661	0	M	1	dorycnium	anthyllis	pistachia	30,1	17,1	27,7	2,4	2,28	5,73						
2	7	662	1	M	0	pistachia	dorycnium	anthyllis	17,2	32	21,8	3,51	3,27	2,62						
2	7	663	0	M	1	pistachia	anthyllis	dorycnium	21	20,4	26,2	2,8	3,09	1,92						
2	7	668	1	D	0	dorycnium	dorycnium	dorycnium	15,9	30,5	17,1	3,1	3,2	3						
2	7	669	0	D	0	dorycnium	dorycnium	dorycnium	26,1	27,5	18,9	2,3	2,06	1,5						
2	7	670	0	A	0	anthyllis	anthyllis	anthyllis	18,7	23,4	22,2	2,73	2,36	2,45						
2	7	671	1	A	0	anthyllis	anthyllis	anthyllis	17,6	14,7	24,2	2,02	2,17	2,32						
2	7	672	0	M	1	anthyllis	dorycnium	pistachia	31,6	32,4	17,5	3,21	2,32	3,34						
2	7	673	1	M	1	anthyllis	dorycnium	pistachia	22,6	28	18,4	2,25	2,82	3,9						
2	7	674	1	D	0	dorycnium	dorycnium	dorycnium	26,1	31,9	31,3	2,27	2,11	2,99						
2	7	675	0	D	0	dorycnium	dorycnium	dorycnium	25,2	31,1	23,9	2,15	2,26	2,22						
2	7	684	1	D	1	dorycnium	dorycnium	dorycnium	33,5	29,2	29,5	3,57	2,73	2,87						
2	7	685	0	D	0	dorycnium	dorycnium	dorycnium	21,9	29,4	31,6	2,23	2,19	2,94						
2	7	692	1	P	1	pistachia	pistachia	pistachia	20,7	25,5	20,8	2,81	3,42	5,25						
2	7	691	0	P	0	pistachia	pistachia	pistachia	26,7	29,1	26,2	4,53	3,62	2,98						
2	7	694	1	D	0	dorycnium	dorycnium	dorycnium	28	25,7	24,5	2,31	2,87	3,01						
2	7	698	0	D	0	dorycnium	dorycnium	dorycnium	31,4	28,4	28,7	3,45	2,61	3,85						
2	7	700	0	P	0	pistachia	pistachia	pistachia	20,1	25,2	21,6	4,53	4,24	4,48						
2	7	701	1	P	1	pistachia	pistachia	pistachia	26,7	27	13,1	3,65	3,53	4,05						
2	7	722	0	P	0	pistachia	pistachia	pistachia	25,8	16,2	18,4	3,24	3,17	2,73						
2	7	723	1	P	0	pistachia	pistachia	pistachia	18,6	15,5	24,2	2,26	3,5	2,92						
2	8	401	0	P	0	pistachia	pistachia	pistachia	23,3	22,6	21	4	3,2	3						
2	8	402	1	P	0	pistachia	pistachia	pistachia	20,9	21,9	22,8	3,47	3,06	3,83						
2	8	403	0	D	1	dorycnium	dorycnium	dorycnium	22,2	29,2	21,6	1,77	2,07	2,87						
2	8	405	1	D	1	dorycnium	dorycnium	dorycnium	32,4	29,5	30,8	2,63	2,39	3,17						
2	8	407	1	P	1	pistachia	pistachia	pistachia	24,9	25	26,5	3,37	2,96	4,01						
2	8	408	1	D	1	dorycnium	dorycnium	dorycnium	32,8	29,4	30,3	2,86	2,58	2,56						
2	8	409	1	D	1	dorycnium	dorycnium	dorycnium	29,3	40,8	30,9	3,17	3,63	2,83						
2	8	410	0	D	1	dorycnium	dorycnium	dorycnium	28,3	23,4	18,9	2,55	1,79	2,83						
2	8	412	0	D	1	dorycnium	dorycnium	dorycnium	24,9	22,8	27	2,02	2,94	3,14						
2	8	413	0	D	1	dorycnium	dorycnium	dorycnium	27,5	31,4	27,2	2,47	3,44	2,57						
2	8	414	1	D	1	dorycnium	dorycnium	dorycnium	27,1	27,3	30,1	3,25	2,94	2,65						
2	8	415	0	M	1	dorycnium	pistachia	anthyllis	33,3	23,8	25,7	3,95	4,04	2,08						
2	8	416	1	M	1	dorycnium	anthyllis	pistachia	30,8	17,3	23,3	2,29	1,12	3,4						
2	8	417	0	M	1	dorycnium	anthyllis	pistachia	20,9	16,2	17,9	2,62	2,18	3,54						
2	8	418	1	M	1	pistachia	dorycnium	anthyllis	20,8	29,2	37	2,57	2,88	2,78						
2	8	419	0	P	1	pistachia	pistachia	pistachia	27,4	27,3	26,8	3,3	4,28	3,68						
2	8	420	1	A	0	anthyllis	anthyllis	anthyllis	18	29,6	12	1,94	2,87	2,59						
2	8	421	0	A	0	anthyllis	anthyllis	anthyllis	34,6	36,1	18,7	2,65	3,62	2,18						
2	8	424	0	A	1	anthyllis	anthyllis	anthyllis	26,9	18,6	19,5	3,43	1,76	2,38						
2	8	425	1	A	0	anthyllis	anthyllis	anthyllis	36,3	21,8	14,9	3,37	2,37	2,22						
2	8	427	0	A	0	anthyllis	anthyllis	anthyllis	21,8	14,5	18,5	3,04	2,1	2,45						
2	8	428	1	A	0	anthyllis	anthyllis	anthyllis	15	30	18	2,13	2,35	2,28						
2	8	429	0	M	0	dorycnium	anthyllis	pistachia	17,4	22,1	12,3	1,84	2,52	2,92						
2	8	430	1	M	0	dorycnium	pistachia	anthyllis	29,3	23,6	22,7	2,19	3,44	2,6						
2	8	431	0	A	0	anthyllis	anthyllis	anthyllis	15,7	16,6	26,1	2,25	3,19	2,13						
2	8	432	0	M	0	pistachia	dorycnium	anthyllis	19,3	27	17	4,06	2,09	1,33						
2	8	433	1	M	0	anthyllis	dorycnium	pistachia	20	28,2	18,7	2,42	2,38	2,51						
2	8	435	0	D	1	dorycnium	dorycnium	dorycnium	26,8	26,6	24,1	2,31	3,09	2,46						
2	8	436	1	D	0	dorycnium	dorycnium	dorycnium	26,8	28,6	31,5	2,77	2,31	3,26						
2	8	437	0	P	0	pistachia	pistachia	pistachia	25,1	25,4	21,5	3,14	3,58	2,55						
2	8	438	1	P	1	pistachia	pistachia	pistachia	25	26,6	25,3	3,2	3,88	3,27						
2	8	443	0	M	1	pistachia	anthyllis	dorycnium	19,3	24,5	30,6	2,66	2,6	3,13						
2	8	444	0	P	0	pistachia	pistachia	pistachia	28	13,7	14	3,98	2,56	1,78						
2	8	445	1	P	1	pistachia	pistachia	pistachia	21,4	25,7	23,7	3,24	4,64	4,88						
2	8	446	1	M	0	dorycnium	anthyllis	pistachia	29,3	28,9	17,8	1,97	2,24	2,06						
2	8	449	0	D	1	dorycnium	dorycnium	dorycnium	25,5	27	26,8	2,92	2,67	2,97						
2	8	450	1	D	0	dorycnium	dorycnium	dorycnium	30,9	20,9	25,7	2,62	2,53	1,95						
2	8	451	0	A	0	anthyllis	anthyllis	anthyllis	17,8	19,6	23	2,03	2,15	2,07						
2	8	452	1	A	1	anthyllis	anthyllis	anthyllis	28,4	24,3	17,9	2,6	2,26	2,31						
2	8	453	0	D	1	dorycnium	dorycnium	dorycnium	22,5	30,2	25,4	2,58	2,75	1,98						
2	8	454	1	D	0	dorycnium	dorycnium	dorycnium	17,6	25,6	24,3	1,86	1,97	2,8						
2	8	458	1	P	1	pistachia	pistachia	pistachia	9,5	18,9	18,2	2,82	2,89	3,65						
2	8	459	1	P	0	pistachia	pistachia	pistachia	19,5	18	26	2,79	3,77	2,94						
2	8	460	0	P	1	pistachia	pistachia	pistachia	19,9	17,6	23	2,2	2,36	2,77						
2	8	461	1	A	1	anthyllis	anthyllis	anthyllis	22,7	20,3	20,4	2,54	2,8	2,14						
2	8	462	0	A	1	anthyllis	anthyllis	anthyllis	16,6	30	16	1,78	3,13	2,52						
2	8	463	0	P	1	pistachia	pistachia	pistachia	22,5	26,4	22,3	3,06	3,09	3,3						
