ter;plot;label;ms;com;watering;sp1;sp2;sp3;fresh_mass1;fresh_mass2;fresh_mass3;fresh_m_f1;fresh_m_f2;fresh_m_f3;dry_mass1;dry_mass2;dry_mass3;dry_m_f1;dry_m_f2;dry_m_f3
2;5;561;0;M;1;dorycnium;anthyllis;pistachia;0,074;0,182;1,272;;0,174;1,071;0,031;0,05;0,663;;0,046;0,557
2;5;562;1;M;1;pistachia;anthyllis;dorycnium;0,68;0,08;0,049;0,592;0,075;;0,332;0,027;0,02;0,288;0,026;
2;5;563;1;A;1;anthyllis;anthyllis;anthyllis;0,076;;0,082;0,069;;0,077;0,021;;0,026;0,019;;0,025
2;5;564;1;D;1;dorycnium;dorycnium;dorycnium;0,11;0,073;0,068;;;;0,05;0,029;0,028;;;
2;5;565;0;A;0;anthyllis;anthyllis;anthyllis;0,133;;0,071;0,122;;0,062;0,051;;;0,049;;
2;5;566;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;0,01;;;;
2;5;567;1;M;1;pistachia;anthyllis;dorycnium;0,595;0,11;0,086;0,49;0,107;;0,283;0,037;0,036;0,229;0,035;
2;5;568;0;D;0;dorycnium;dorycnium;dorycnium;0,06;0,035;;;;;0,029;0,014;;;;
2;5;569;0;M;0;pistachia;dorycnium;anthyllis;0,621;0,042;0,072;0,49;;0,063;0,361;0,019;0,036;0,293;;0,033
2;5;570;0;P;0;pistachia;pistachia;pistachia;0,634;;;0,499;;;0,386;;;0,307;;
2;5;571;1;P;1;pistachia;pistachia;pistachia;1,003;0,703;0,919;0,858;0,587;0,788;0,497;0,379;0,471;0,421;0,314;0,404
2;5;577;0;P;0;pistachia;pistachia;pistachia;0,349;0,394;;0,296;0,311;;0,21;0,221;;0,179;0,175;
2;5;579;0;M;1;dorycnium;anthyllis;pistachia;0,041;0,135;1,003;;0,128;0,823;0,018;0,041;0,483;;0,04;0,395
2;5;580;1;M;1;pistachia;anthyllis;dorycnium;0,791;0,139;;0,663;0,13;;0,408;0,041;;0,351;0,038;
2;5;581;1;P;0;pistachia;pistachia;pistachia;0,686;0,846;0,944;0,574;0,718;0,824;0,365;0,452;0,535;0,307;0,384;0,468
2;5;582;0;D;1;dorycnium;dorycnium;dorycnium;0,105;0,056;0,04;;;;0,04;0,023;0,013;;;
2;5;583;1;M;1;dorycnium;anthyllis;pistachia;0,066;0,123;0,601;;0,112;0,495;0,022;0,037;0,287;;0,033;0,234
2;5;584;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;585;1;P;1;pistachia;pistachia;pistachia;0,687;1,119;0,691;0,575;0,926;0,591;0,335;0,581;0,351;0,277;0,476;0,298
2;5;586;1;A;0;anthyllis;anthyllis;anthyllis;0,086;0,095;0,046;0,077;0,088;0,04;0,037;0,04;0,019;0,034;0,038;0,016
2;5;587;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;589;0;M;0;anthyllis;pistachia;dorycnium;;0,45;0,109;;0,377;;;0,251;0,053;;0,212;
2;5;590;0;P;1;pistachia;pistachia;pistachia;0,65;0,546;0,554;0,538;0,476;0,448;0,35;0,28;0,313;0,29;0,244;0,254
2;5;591;0;P;0;pistachia;pistachia;pistachia;0,665;0,776;0,745;0,561;0,624;0,643;0,372;0,45;0,417;0,315;0,367;0,363
2;5;592;0;P;0;pistachia;pistachia;pistachia;0,863;0,722;0,789;0,65;0,587;0,671;0,486;0,374;0,409;0,394;0,31;0,348
2;5;593;0;D;0;dorycnium;dorycnium;dorycnium;0,04;0,091;0,049;;;;0,016;0,044;0,022;;;
2;5;594;1;A;1;anthyllis;anthyllis;anthyllis;0,149;0,098;0,126;0,139;0,085;0,111;0,044;0,036;0,045;0,04;0,03;0,041
2;5;595;0;A;0;anthyllis;anthyllis;anthyllis;;0,07;0,105;;0,061;0,098;;0,032;0,038;;0,029;0,036
2;5;596;1;M;1;pistachia;anthyllis;dorycnium;0,477;0,044;0,069;0,401;0,041;;0,221;0,009;0,027;0,185;0,008;
2;5;597;0;M;0;pistachia;dorycnium;anthyllis;;0,099;0,102;;;0,094;;0,046;0,03;;;0,028
2;5;598;1;P;0;pistachia;pistachia;pistachia;;0,349;0,511;;0,284;0,435;;0,226;0,274;;0,188;0,237
2;5;599;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;5;600;1;A;1;anthyllis;anthyllis;anthyllis;;0,179;;;0,161;;;0,055;;;0,05;
2;5;601;0;P;1;pistachia;pistachia;pistachia;0,812;0,793;0,574;0,689;0,666;0,496;0,409;0,4;0,285;0,345;0,338;0,245
2;5;602;1;P;0;pistachia;pistachia;pistachia;0,448;;0,435;0,382;;0,346;0,27;;0,257;0,23;;0,204
2;5;603;0;A;1;anthyllis;anthyllis;anthyllis;;0,135;0,069;;0,121;0,062;;;0,026;;;0,025
2;5;607;0;D;1;dorycnium;dorycnium;dorycnium;;0,033;0,075;;;;;0,012;0,028;;;
2;5;611;0;D;0;dorycnium;dorycnium;dorycnium;0,036;;0,049;;;;0,012;;0,02;;;
2;5;612;1;D;1;dorycnium;dorycnium;dorycnium;0,062;0,034;0,068;;;;0,022;0,013;0,025;0,02;;
2;5;613;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;615;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;617;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;618;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;619;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;5;620;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;5;622;0;M;0;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;5;623;1;M;0;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;5;624;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;625;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;626;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;5;627;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;5;628;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;629;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;630;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;631;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;632;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;633;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;634;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;635;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;5;636;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;637;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;5;638;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;482;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;483;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;484;1;M;1;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;6;485;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;486;0;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;6;488;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;489;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;490;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;491;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;494;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;495;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;502;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;503;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;504;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;505;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;506;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;507;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;508;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;509;0;M;1;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;6;510;1;M;0;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;6;511;0;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;6;512;1;M;0;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;6;514;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;515;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;516;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;518;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;519;1;M;0;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;6;520;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;521;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;522;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;523;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;524;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;525;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;528;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;535;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;536;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;6;537;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;538;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;539;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;540;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;541;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;542;0;M;1;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;6;543;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;544;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;549;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;550;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;6;551;0;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;6;552;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;6;555;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;556;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;557;1;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;6;558;0;M;0;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;6;559;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;6;560;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;641;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;642;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;644;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;646;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;648;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;649;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;656;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;7;657;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;7;658;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;659;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;660;1;M;1;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;7;661;0;M;1;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;7;662;1;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;7;663;0;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;7;668;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;669;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;670;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;671;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;7;672;0;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;7;673;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;7;674;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;675;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;684;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;685;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;692;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;691;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;694;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;698;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;700;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;701;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;722;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;723;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;401;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;402;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;403;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;405;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;407;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;408;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;409;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;410;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;412;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;413;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;414;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;415;0;M;1;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;8;416;1;M;1;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;417;0;M;1;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;418;1;M;1;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;8;419;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;420;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;421;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;424;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;425;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;427;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;428;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;429;0;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;430;1;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;8;431;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;432;0;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;8;433;1;M;0;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;8;435;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;436;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;437;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;438;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;443;0;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;8;444;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;445;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;446;1;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;449;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;450;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;451;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;452;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;453;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;454;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;458;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;459;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;460;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;461;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;462;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;463;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;464;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;466;1;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;467;1;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;468;0;M;1;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;8;470;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;471;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;472;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;473;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;474;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;477;1;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;8;478;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
