terrace;plot;treatment;watering;rabbit;label;ms
1A;1;1;1;0;86;1
1A;1;1;1;1;87;0
1A;1;1;0;1;88;1
1A;1;1;1;1;89;0
1A;1;1;0;1;90;0
1A;1;1;0;1;91;1
1A;1;1;1;1;92;1
1A;1;1;1;1;93;0
1A;1;1;0;1;94;1
1A;1;1;0;1;95;0
1A;1;1;0;1;96;0
1A;1;1;1;1;97;0
1A;1;1;1;1;98;1
1A;1;1;0;1;99;0
1A;1;1;0;1;100;0
1A;1;1;0;1;101;1
1A;1;1;1;0;102;0
1A;1;1;1;0;103;1
1A;1;1;0;1;104;0
1A;1;1;0;1;105;1
1A;1;1;0;1;106;1
1A;1;1;1;1;107;0
1A;1;1;1;1;108;1
1A;1;1;0;0;109;0
1A;1;1;1;1;110;1
1A;1;1;1;1;111;0
1A;1;1;1;0;112;1
1A;1;1;0;1;113;0
1A;1;1;0;1;114;0
1A;1;1;0;1;115;0
1A;1;1;0;1;116;1
1A;1;1;0;1;117;0
1A;1;1;1;1;118;1
1A;1;1;1;1;119;1
1A;1;1;0;1;120;0
1A;1;1;0;1;121;1
1A;1;1;0;1;122;0
1A;1;1;1;1;123;1
1A;1;1;0;1;124;0
1A;1;1;1;1;125;0
1A;1;1;1;1;126;1
1A;1;1;1;1;127;0
1A;1;1;0;1;128;1
1A;1;1;0;1;129;1
1A;1;1;1;1;130;1
1A;1;1;1;1;131;0
1A;1;1;1;1;132;1
1A;1;1;0;1;133;1
1A;1;1;1;1;134;0
1A;1;1;0;1;135;0
1A;1;1;1;1;136;1
1A;1;1;0;1;137;0
1A;1;1;0;1;138;0
1A;1;1;0;1;139;1
1A;1;1;1;1;140;0
1A;1;1;1;0;141;0
1A;1;1;1;0;142;1
1A;1;1;1;1;143;1
1A;1;1;1;0;144;0
1A;1;1;0;1;145;1
1A;1;1;0;1;146;0
1A;1;1;1;1;147;0
1A;1;1;0;1;148;1
1A;1;1;1;1;149;1
1A;1;1;1;1;150;0
1A;1;1;1;1;151;1
1A;1;1;0;1;152;1
1A;1;1;0;1;153;1
1A;1;1;0;1;154;0
1A;1;1;1;1;155;0
1A;1;1;1;1;156;1
1A;1;1;0;1;157;1
1A;1;1;1;1;158;0
1A;1;1;0;1;159;0
1A;1;1;0;1;160;1
1A;1;1;0;1;161;1
1A;1;1;1;1;162;0
1A;1;1;1;1;163;0
1A;1;1;1;1;164;1
1A;1;1;0;1;165;1
1B;1;0;0;1;166;1
1B;1;0;1;1;167;1
1B;1;0;0;1;168;0
1B;1;0;0;1;169;1
1B;1;0;0;0;170;1
1B;1;0;1;1;171;0
1B;1;0;1;1;172;1
1B;1;0;0;1;173;0
1B;1;0;0;1;174;1
1B;1;0;0;1;175;1
1B;1;0;0;0;176;1
1B;1;0;0;1;177;1
1B;1;0;0;1;178;1
1B;1;0;1;1;179;1
1B;1;0;1;1;180;0
1B;1;0;1;1;181;1
1B;1;0;0;1;182;0
1B;1;0;0;1;183;0
1B;1;0;0;1;184;0
1B;1;0;1;1;185;1
1B;1;0;0;1;186;0
1B;1;0;1;1;187;0
1B;1;0;1;1;188;0
1B;1;0;0;0;189;0
1B;1;0;1;1;190;0
1B;1;0;0;0;191;1
1B;1;0;1;0;192;1
1B;1;0;1;1;193;1
1B;1;0;0;1;194;0
1B;1;0;0;1;195;0
1B;1;0;0;1;196;0
1B;1;0;1;1;197;0
1B;1;0;1;1;198;0
1B;1;0;0;1;199;0
1B;1;0;1;1;200;0
1B;1;0;1;1;1201;0
1B;1;0;0;1;1202;1
1B;1;0;1;1;1203;0
1B;1;0;1;1;1204;0
1B;1;0;1;1;1205;0
1B;1;0;1;1;1206;0
1B;1;0;1;1;1207;0
1B;1;0;0;1;1208;0
1B;1;0;1;1;1209;0
1B;1;0;0;1;1210;0
1B;1;0;0;0;1211;1
1B;1;0;0;1;1212;0
1B;1;0;1;1;1213;1
1B;1;0;0;1;1214;0
1B;1;0;1;0;1215;1
1B;1;0;1;1;1216;0
1B;1;0;1;0;1217;0
1B;1;0;1;1;1218;1
1B;1;0;1;1;1219;1
1B;1;0;0;1;1220;1
1B;1;0;0;1;1221;0
1B;1;0;1;1;1222;1
1B;1;0;1;1;1223;0
1B;1;0;1;1;1224;1
1B;1;0;1;1;1225;0
1B;1;0;0;1;1226;0
1B;1;0;1;1;1227;0
1B;1;0;0;1;1228;1
1B;1;0;1;1;1229;0
1B;1;0;0;1;1230;1
1B;1;0;0;1;1231;1
1B;1;0;0;1;1232;0
1B;1;0;0;1;1233;1
1B;1;0;0;0;1234;1
1B;1;0;0;1;1235;0
1B;1;0;0;1;1236;0
1B;1;0;0;1;1237;1
1B;1;0;1;1;1238;1
1B;1;0;1;1;1239;0
1B;1;0;1;1;1240;1
1B;1;0;0;0;1241;0
1B;1;0;1;1;1242;1
1B;1;0;1;1;1243;1
1B;1;0;0;1;879;1
1B;1;0;1;1;1218a;1
1C;1;2;1;0;1251;1
1C;1;2;0;0;1252;1
1C;1;2;0;0;1253;1
1C;1;2;1;0;1254;0
1C;1;2;1;0;1255;0
1C;1;2;0;0;1256;1
1C;1;2;1;0;1257;0
1C;1;2;1;0;1258;1
1C;1;2;0;0;1259;0
1C;1;2;1;0;1260;0
1C;1;2;0;0;1261;1
1C;1;2;0;0;1262;1
1C;1;2;1;0;1263;0
1C;1;2;1;0;1264;0
1C;1;2;0;0;1265;1
1C;1;2;0;0;1266;1
1C;1;2;0;0;1267;1
1C;1;2;0;0;1268;1
1C;1;2;0;0;1269;0
1C;1;2;0;0;1270;1
1C;1;2;1;0;1271;0
1C;1;2;1;0;1272;1
1C;1;2;1;0;1273;0
1C;1;2;1;0;1274;0
1C;1;2;0;0;1275;1
1C;1;2;0;0;1276;0
1C;1;2;0;0;1277;0
1C;1;2;0;0;1278;1
1C;1;2;1;0;1279;0
1C;1;2;1;0;1280;1
1C;1;2;1;0;1281;0
1C;1;2;1;0;1282;1
1C;1;2;0;0;1283;1
1C;1;2;0;0;1284;0
1C;1;2;0;0;1285;1
1C;1;2;1;0;1286;1
1C;1;2;0;0;1287;0
1C;1;2;0;0;1288;0
1C;1;2;1;0;1289;1
1C;1;2;0;0;1290;1
1C;1;2;1;0;1291;0
1C;1;2;0;0;1292;0
1C;1;2;0;0;1293;0
1C;1;2;0;0;1294;0
1C;1;2;0;0;1295;0
1C;1;2;1;0;1296;1
1C;1;2;1;0;1297;0
1C;1;2;0;0;1298;0
1C;1;2;1;0;1299;1
1C;1;2;1;0;1300;1
1C;1;2;1;0;1301;0
1C;1;2;1;0;1302;0
1C;1;2;1;0;1303;0
1C;1;2;1;0;1304;0
1C;1;2;1;0;1305;0
1C;1;2;0;0;1306;0
1C;1;2;0;0;1307;0
1C;1;2;0;0;1308;0
1C;1;2;1;0;1309;0
1C;1;2;1;0;1310;1
1C;1;2;0;0;1311;1
1C;1;2;0;0;1312;1
1C;1;2;1;0;1313;1
1C;1;2;0;0;1314;0
1C;1;2;1;0;1315;1
1C;1;2;1;0;1316;1
1C;1;2;1;0;1317;1
1C;1;2;1;0;1318;1
1C;1;2;0;0;1319;1
1C;1;2;0;0;1320;1
1C;1;2;1;0;1321;0
1C;1;2;0;0;1322;0
1C;1;2;1;0;1323;0
1C;1;2;0;0;1324;0
1C;1;2;1;0;1325;1
1C;1;2;0;0;1326;1
1C;1;2;1;0;1327;1
1C;1;2;0;0;1328;0
1R;1;3;1;0;1;1
1R;1;3;1;0;2;0
1R;1;3;0;0;3;0
1R;1;3;0;0;4;1
1R;1;3;1;0;5;0
1R;1;3;1;0;6;1
1R;1;3;0;0;7;0
1R;1;3;1;0;8;0
1R;1;3;0;0;9;0
1R;1;3;0;0;10;1
1R;1;3;0;0;11;1
1R;1;3;0;0;12;0
1R;1;3;0;0;13;0
1R;1;3;1;0;14;1
1R;1;3;1;0;15;0
1R;1;3;1;0;16;1
1R;1;3;0;0;17;0
1R;1;3;1;0;18;1
1R;1;3;1;0;19;0
1R;1;3;1;0;20;1
1R;1;3;1;0;21;0
1R;1;3;0;0;22;1
1R;1;3;0;0;23;1
1R;1;3;0;0;24;0
1R;1;3;0;0;25;1
1R;1;3;0;0;26;0
1R;1;3;1;0;27;0
1R;1;3;0;0;28;1
1R;1;3;1;0;29;0
1R;1;3;1;0;30;1
1R;1;3;0;0;31;1
1R;1;3;1;0;32;1
1R;1;3;1;0;33;0
1R;1;3;0;0;34;0
1R;1;3;0;0;35;1
1R;1;3;0;0;36;1
1R;1;3;0;0;37;1
1R;1;3;0;0;38;0
1R;1;3;1;0;39;1
1R;1;3;0;0;40;0
1R;1;3;0;0;41;0
1R;1;3;1;0;42;1
1R;1;3;0;0;43;0
1R;1;3;0;0;44;0
1R;1;3;1;0;45;0
1R;1;3;1;0;46;0
1R;1;3;0;0;47;1
1R;1;3;1;0;48;1
1R;1;3;1;0;49;0
1R;1;3;0;0;50;0
1R;1;3;1;0;51;1
1R;1;3;1;0;52;1
1R;1;3;0;0;53;1
1R;1;3;1;0;54;1
1R;1;3;0;0;55;0
1R;1;3;0;0;56;1
1R;1;3;0;0;57;0
1R;1;3;1;0;58;1
1R;1;3;1;0;59;0
1R;1;3;1;0;60;1
1R;1;3;1;0;61;0
1R;1;3;0;0;62;0
1R;1;3;1;0;63;1
1R;1;3;1;0;64;1
1R;1;3;1;0;65;0
1R;1;3;1;0;66;1
1R;1;3;1;0;67;0
1R;1;3;1;0;68;0
1R;1;3;0;0;69;1
1R;1;3;0;0;70;0
1R;1;3;1;0;71;1
1R;1;3;0;0;72;0
1R;1;3;0;0;73;1
1R;1;3;1;0;74;0
1R;1;3;0;0;75;0
1R;1;3;0;0;76;0
1R;1;3;0;0;77;1
1R;1;3;0;0;78;1
1R;1;3;0;0;79;1
1R;1;3;1;0;80;0
1R;1;3;1;0;81;0
1R;1;3;0;0;82;1
1R;1;3;1;0;83;0
1R;1;3;1;0;84;1
1R;1;3;0;0;85;1
